year,number,one,two,three,four,five,six,seven,eight,nine
1909,53,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Tinker,Moran,pitcher
1909,54,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Tinker,Moran,pitcher
1909,55,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Tinker,Archer,pitcher
1909,56,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Tinker,Archer,pitcher
1909,57,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Tinker,Moran,pitcher
1909,58,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Tinker,Archer,pitcher
1909,59,Evers,Sheckard,Hofman,Chance,Steinfeldt,Schulte,Tinker,Archer,pitcher
1909,60,Evers,Sheckard,Hofman,Chance,Steinfeldt,Schulte,Tinker,Archer,pitcher
1909,61,Evers,Sheckard,Hofman,Chance,Steinfeldt,Schulte,Tinker,Archer,pitcher
1909,62,Evers,Sheckard,Hofman,Chance,Steinfeldt,Schulte,Tinker,Archer,pitcher
1909,63,Evers,Sheckard,Hofman,Chance,Steinfeldt,Schulte,Tinker,Moran,pitcher
1909,64,Evers,Sheckard,Hofman,Chance,Steinfeldt,Schulte,Tinker,Moran,pitcher
1909,65,Evers,Sheckard,Hofman,Chance,Steinfeldt,Schulte,Tinker,Moran,pitcher
1909,66,Evers,Sheckard,Hofman,Chance,Steinfeldt,Schulte,Tinker,Moran,pitcher
1909,67,Evers,Sheckard,Hofman,Chance,Steinfeldt,Schulte,Tinker,Archer,pitcher
1909,68,Evers,Sheckard,Hofman,Chance,Steinfeldt,Schulte,Tinker,Archer,pitcher
1909,69,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,70,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,71,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,72,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,73,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,74,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,75,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,76,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,77,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,78,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,79,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,80,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
